Season,Pos,Team,Winner,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
2021-22,14,Ceramica Cleopatra,Zamalek,34,7,16,11,34,41,-7,37,Not Applicable
2021-22,15,Ghazl El Mahalla,Zamalek,34,7,15,12,26,37,-11,36,Not Applicable
2021-22,16,El Gouna,Zamalek,34,9,9,16,33,46,-13,36,Relegation to the Second Division
2021-22,17,Eastern Company,Zamalek,34,7,12,15,33,56,-23,33,Relegation to the Second Division
2021-22,18,Misr El Makasa,Zamalek,34,2,9,23,12,50,-38,15,Relegation to the Second Division
2022-23,1,Al Ahly,Al Ahly,34,25,8,1,63,13,50,83,Qualification for the Champions League first or second round
2022-23,2,Pyramids,Al Ahly,34,22,7,5,58,24,34,73,Qualification for the Champions League first or second round
2022-23,3,Zamalek,Al Ahly,34,17,9,8,52,36,16,60,Qualification for the Confederation Cup first or second round
2022-23,4,Future,Al Ahly,34,15,13,6,34,23,11,58,Qualification for the Confederation Cup first or second round
2022-23,5,Al Masry,Al Ahly,34,11,15,8,34,33,1,48,Not Applicable
2022-23,6,ENPPI,Al Ahly,34,13,6,15,34,40,-6,45,Not Applicable
2022-23,7,Al Mokawloon Al Arab,Al Ahly,34,9,17,8,35,33,2,44,Not Applicable
2022-23,8,Al Itthad Al Sakandary,Al Ahly,34,12,7,15,36,43,-7,43,Not Applicable
2022-23,9,Pharco,Al Ahly,34,9,15,10,31,34,-3,42,Not Applicable
2022-23,10,Smouha,Al Ahly,34,10,12,12,36,43,-7,42,Not Applicable
2022-23,11,Ismaily,Al Ahly,34,9,13,12,35,38,-3,40,Not Applicable
2022-23,12,National Bank of Egypt,Al Ahly,34,9,12,13,35,40,-5,39,Not Applicable
2022-23,13,Ceramica Cleopatra,Al Ahly,34,7,16,11,31,32,-1,37,Not Applicable
2022-23,14,Tala'ea El Gaish,Al Ahly,34,8,12,14,33,45,-12,36,Not Applicable
2022-23,15,El Dakhleya,Al Ahly,34,7,14,13,32,43,-11,35,Not Applicable
2022-23,16,Aswan,Al Ahly,34,8,9,17,31,45,-14,33,Relegation to the Second Division
2022-23,17,Ghazl El Mahalla,Al Ahly,34,8,9,17,26,47,-21,33,Relegation to the Second Division
2022-23,18,Haras El Hedood,Al Ahly,34,5,10,19,21,45,-24,25,Relegation to the Second Division
